code,county
1,ANDERSON
2,ANDREWS
3,ANGELINA
4,ARANSAS
5,ARCHER
6,ARMSTRONG
7,ATASCOSA
8,AUSTIN
9,BAILEY
10,BANDERA
11,BASTROP
12,BAYLOR
13,BEE
14,BELL
15,BEXAR
16,BLANCO
17,BORDEN
18,BOSQUE
19,BOWIE
20,BRAZORIA
21,BRAZOS
22,BREWSTER
23,BRISCOE
24,BROOKS
25,BROWN
26,BURLESON
27,BURNET
28,CALDWELL
29,CALHOUN
30,CALLAHAN
31,CAMERON
32,CAMP
33,CARSON
34,CASS
35,CASTRO
36,CHAMBERS
37,CHEROKEE
38,CHILDRESS
39,CLAY
40,COCHRAN
41,COKE
42,COLEMAN
43,COLLIN
44,COLLINGSWORTH
45,COLORADO
46,COMAL
47,COMANCHE
48,CONCHO
49,COOKE
50,CORYELL
51,COTTLE
52,CRANE
53,CROCKETT
54,CROSBY
55,CULBERSON
56,DALLAM
57,DALLAS
58,DAWSON
59,DEAF SMITH
60,DELTA
61,DENTON
62,DE WITT
63,DICKENS
64,DIMMIT
65,DONLEY
66,KENEDY
67,DUVAL
68,EASTLAND
69,ECTOR
70,EDWARDS
71,ELLIS
72,EL PASO
73,ERATH
74,FALLS
75,FANNIN
76,FAYETTE
77,FISHER
78,FLOYD
79,FOARD
80,FORT BEND
81,FRANKLIN
82,FREESTONE
83,FRIO
84,GAINES
85,GALVESTON
86,GARZA
87,GILLESPIE
88,GLASSCOCK
89,GOLIAD
90,GONZALES
91,GRAY
92,GRAYSON
93,GREGG
94,GRIMES
95,GUADALUPE
96,HALE
97,HALL
98,HAMILTON
99,HANSFORD
100,HARDEMAN
101,HARDIN
102,HARRIS
103,HARRISON
104,HARTLEY
105,HASKELL
106,HAYS
107,HEMPHILL
108,HENDERSON
109,HIDALGO
110,HILL
111,HOCKLEY
112,HOOD
113,HOPKINS
114,HOUSTON
115,HOWARD
116,HUDSPETH
117,HUNT
118,HUTCHINSON
119,IRION
120,JACK
121,JACKSON
122,JASPER
123,JEFF DAVIS
124,JEFFERSON
125,JIM HOGG
126,JIM WELLS
127,JOHNSON
128,JONES
129,KARNES
130,KAUFMAN
131,KENDALL
132,KENT
133,KERR
134,KIMBLE
135,KING
136,KINNEY
137,KLEBERG
138,KNOX
139,LAMAR
140,LAMB
141,LAMPASAS
142,LA SALLE
143,LAVACA
144,LEE
145,LEON
146,LIBERTY
147,LIMESTONE
148,LIPSCOMB
149,LIVE OAK
150,LLANO
151,LOVING
152,LUBBOCK
153,LYNN
154,MADISON
155,MARION
156,MARTIN
157,MASON
158,MATAGORDA
159,MAVERICK
160,MC CULLOCH
161,MC LENNAN
162,MC MULLEN
163,MEDINA
164,MENARD
165,MIDLAND
166,MILAM
167,MILLS
168,MITCHELL
169,MONTAGUE
170,MONTGOMERY
171,MOORE
172,MORRIS
173,MOTLEY
174,NACOGDOCHES
175,NAVARRO
176,NEWTON
177,NOLAN
178,NUECES
179,OCHILTREE
180,OLDHAM
181,ORANGE
182,PALO PINTO
183,PANOLA
184,PARKER
185,PARMER
186,PECOS
187,POLK
188,POTTER
189,PRESIDIO
190,RAINS
191,RANDALL
192,REAGAN
193,REAL
194,RED RIVER
195,REEVES
196,REFUGIO
197,ROBERTS
198,ROBERTSON
199,ROCKWALL
200,RUNNELS
201,RUSK
202,SABINE
203,SAN AUGUSTINE
204,SAN JACINTO
205,SAN PATRICIO
206,SAN SABA
207,SCHLEICHER
208,SCURRY
209,SHACKELFORD
210,SHELBY
211,SHERMAN
212,SMITH
213,SOMERVELL
214,STARR
215,STEPHENS
216,STERLING
217,STONEWALL
218,SUTTON
219,SWISHER
220,TARRANT
221,TAYLOR
222,TERRELL
223,TERRY
224,THROCKMORTON
225,TITUS
226,TOM GREEN
227,TRAVIS
228,TRINITY
229,TYLER
230,UPSHUR
231,UPTON
232,UVALDE
233,VAL VERDE
234,VAN ZANDT
235,VICTORIA
236,WALKER
237,WALLER
238,WARD
239,WASHINGTON
240,WEBB
241,WHARTON
242,WHEELER
243,WICHITA
244,WILBARGER
245,WILLACY
246,WILLIAMSON
247,WILSON
248,WINKLER
249,WISE
250,WOOD
251,YOAKUM
252,YOUNG
253,ZAPATA
254,ZAVALA
299,NOT TEXAS
