fips,year,count
48001,2007,3
48001,2009,1
48005,2007,3
48005,2008,3
48005,2009,1
48005,2011,1
48007,2007,1
48007,2010,1
48009,2007,2
48009,2010,1
48013,2008,3
48015,2006,1
48015,2008,1
48019,2007,1
48021,2007,1
48021,2008,1
48025,2006,1
48027,2006,1
48027,2007,1
48027,2008,2
48027,2009,3
48029,2006,31
48029,2007,20
48029,2008,22
48029,2009,21
48029,2010,6
48029,2011,2
48033,2010,1
48035,2006,1
48035,2007,3
48037,2006,2
48037,2007,2
48037,2009,1
48037,2010,1
48039,2006,4
48039,2007,7
48039,2008,3
48039,2009,3
48039,2011,1
48041,2006,2
48041,2007,1
48041,2008,1
48041,2009,2
48041,2010,3
48043,2011,1
48047,2010,1
48049,2006,3
48049,2010,1
48051,2006,1
48053,2006,2
48055,2006,1
48057,2006,1
48057,2007,1
48061,2006,6
48061,2007,8
48061,2008,4
48061,2009,8
48061,2010,3
48061,2011,1
48063,2007,2
48067,2010,1
48069,2007,1
48071,2008,2
48071,2011,1
48073,2007,3
48073,2008,1
48073,2010,1
48075,2010,1
48077,2007,2
48077,2008,1
48081,2006,1
48085,2006,4
48085,2007,6
48085,2008,6
48085,2010,4
48085,2011,1
48089,2007,1
48089,2011,1
48091,2006,1
48093,2006,1
48097,2006,3
48097,2007,1
48097,2010,1
48099,2006,2
48103,2008,2
48109,2006,2
48111,2006,1
48113,2006,33
48113,2007,27
48113,2008,18
48113,2009,15
48113,2010,10
48113,2011,3
48115,2009,1
48117,2006,1
48117,2008,1
48119,2009,1
48121,2006,4
48121,2007,5
48121,2009,1
48121,2010,1
48123,2007,1
48129,2007,1
48131,2006,1
48131,2007,1
48131,2011,1
48135,2006,3
48135,2007,1
48135,2008,2
48135,2009,1
48135,2010,1
48139,2006,1
48139,2007,2
48139,2009,1
48141,2006,7
48141,2007,5
48141,2008,8
48141,2009,3
48141,2010,6
48149,2006,3
48149,2007,1
48157,2006,2
48157,2007,5
48157,2008,1
48157,2009,1
48157,2010,1
48157,2011,2
48161,2011,1
48163,2008,1
48163,2011,1
48165,2006,1
48167,2006,3
48167,2007,2
48167,2008,1
48167,2010,2
48171,2007,2
48171,2008,1
48173,2008,1
48175,2006,1
48179,2010,1
48181,2006,6
48181,2007,1
48181,2008,1
48181,2009,1
48183,2007,7
48183,2008,3
48183,2009,2
48183,2010,4
48183,2011,2
48187,2006,2
48187,2010,1
48189,2007,1
48189,2009,2
48197,2008,1
48199,2006,3
48199,2009,1
48201,2006,49
48201,2007,55
48201,2008,44
48201,2009,43
48201,2010,17
48201,2011,3
48203,2006,3
48203,2007,3
48203,2009,1
48205,2007,1
48207,2006,1
48209,2006,3
48209,2007,3
48213,2006,1
48213,2007,4
48213,2008,5
48213,2009,1
48215,2006,13
48215,2007,8
48215,2008,15
48215,2009,9
48215,2010,3
48215,2011,5
48217,2010,1
48221,2006,1
48221,2008,4
48221,2010,3
48223,2008,1
48223,2009,4
48225,2006,1
48227,2008,2
48229,2007,2
48229,2008,1
48231,2006,1
48231,2008,1
48231,2010,1
48231,2011,2
48233,2008,1
48233,2010,1
48237,2006,1
48239,2006,1
48241,2006,2
48241,2007,1
48241,2009,1
48245,2006,13
48245,2007,11
48245,2008,4
48245,2009,1
48245,2010,8
48245,2011,2
48247,2008,1
48249,2007,1
48251,2007,3
48251,2008,1
48251,2009,2
48251,2010,2
48251,2011,1
48255,2009,1
48255,2010,2
48257,2006,2
48257,2008,2
48257,2010,1
48257,2011,1
48259,2007,1
48265,2009,1
48265,2010,1
48267,2008,1
48273,2007,1
48277,2006,1
48277,2007,7
48277,2008,1
48277,2009,2
48277,2011,1
48285,2006,1
48285,2007,1
48287,2008,1
48289,2007,1
48289,2008,2
48289,2010,1
48289,2011,1
48291,2006,2
48291,2009,1
48297,2009,1
48299,2006,1
